rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,precip_ratio,ponding_hazard,water_contrast,drainage_stress,flood_target
17.76,79.93,9.0,0.12,1.44,0.123,0.235,4.5,6,5,1,4.26,421.421,-0.112,0.395,0
0.0,24.04,5.0,0.01,2.55,0.141,0.659,5.0,5,2,7,24.042,863.636,-0.518,0.0,0
0.0,0.0,4.0,0.12,2.45,0.094,0.318,6.0,6,2,3,0.0,444.576,-0.224,0.0,1
11.53,69.18,15.0,0.37,2.2,0.393,0.802,4.5,5,6,4,5.521,182.006,-0.409,0.256,0
7.4,29.62,319.0,0.01,4.25,0.035,0.149,5.0,3,4,5,3.524,0.0,-0.114,0.148,0
9.22,64.55,74.0,0.88,0.91,0.371,0.713,5.0,2,6,6,6.315,26.408,-0.342,0.184,0
0.0,23.0,3.0,0.33,1.49,0.077,0.404,3.5,3,2,4,22.999,226.381,-0.326,0.0,1
10.39,31.16,418.0,2.8,0.09,0.112,0.304,4.5,1,6,5,2.737,0.0,-0.192,0.231,1
0.0,34.67,53.0,0.12,7.14,0.23,0.66,3.5,5,3,2,34.671,217.208,-0.431,0.0,0
0.0,6.2,12.0,0.26,3.78,0.333,0.742,3.5,6,3,5,6.204,244.823,-0.409,0.0,0
0.0,12.73,8.0,0.26,2.14,0.207,0.72,7.5,5,8,9,12.728,255.744,-0.513,0.0,0
0.0,100.81,333.0,3.11,2.2,0.206,0.698,5.0,4,9,6,100.815,0.0,-0.492,0.0,0
36.75,36.75,6.0,0.37,1.89,0.229,0.159,4.0,5,4,2,0.974,200.929,0.07,0.919,1
0.0,0.0,2.0,0.26,6.37,0.183,0.505,5.5,3,6,4,0.0,272.201,-0.322,0.0,1
0.0,60.94,1.0,0.82,5.09,0.097,0.303,4.0,3,4,3,60.941,107.634,-0.206,0.0,1
0.0,79.06,37.0,1.46,0.56,0.384,0.887,2.5,5,3,3,79.064,40.416,-0.503,0.0,0
0.0,57.83,119.0,0.33,0.96,0.455,0.794,3.5,8,1,3,57.826,0.0,-0.339,0.0,0
6.67,40.33,5.0,0.49,0.4,0.042,0.072,4.0,7,4,8,5.261,160.337,-0.03,0.167,1
42.13,42.13,66.0,0.52,3.63,0.315,0.701,3.5,3,4,2,0.977,54.945,-0.386,1.204,0
0.0,63.23,8.0,0.12,1.66,0.104,0.112,3.0,3,7,2,63.226,426.052,-0.008,0.0,1
0.0,51.01,4.0,0.35,0.75,0.206,0.607,4.5,4,7,1,51.012,214.201,-0.4,0.0,1
7.81,78.08,3.0,0.12,4.59,0.216,0.39,6.0,2,7,6,8.865,448.54,-0.174,0.13,1
22.67,68.0,1.0,0.12,10.98,0.229,0.557,7.5,2,2,6,2.873,458.214,-0.329,0.302,1
47.33,47.33,41.0,0.58,0.05,0.253,0.476,4.0,6,1,4,0.979,86.662,-0.223,1.183,0
0.0,49.02,8.0,0.12,2.13,0.294,0.48,4.0,4,6,4,49.018,426.052,-0.186,0.0,1
8.78,87.79,8.0,0.48,3.96,0.269,0.631,6.5,7,9,4,8.977,158.832,-0.363,0.135,1
0.0,58.03,21.0,0.68,1.18,0.366,0.811,6.0,5,7,3,58.027,101.762,-0.444,0.0,0
0.0,0.0,2.0,0.48,1.04,0.229,0.388,3.0,4,3,4,0.0,169.009,-0.159,0.0,0
0.0,16.45,12.0,0.16,4.97,0.091,0.332,5.0,6,5,4,16.45,333.134,-0.241,0.0,1
13.34,32.14,5.0,0.26,5.05,0.097,0.434,4.5,5,5,3,2.242,264.367,-0.337,0.296,1
7.89,37.38,11.0,0.26,1.19,0.268,0.784,7.5,7,3,3,4.203,247.672,-0.516,0.105,0
13.38,13.38,4.0,0.26,6.31,0.068,0.619,4.5,7,9,3,0.93,266.843,-0.551,0.297,1
15.95,79.74,2.0,0.12,3.14,-0.015,0.619,6.0,5,6,10,4.705,453.838,-0.634,0.266,1
16.72,16.72,16.0,0.12,1.44,0.25,0.312,4.5,2,8,7,0.944,388.502,-0.062,0.372,0
19.22,19.22,5.0,0.26,7.65,-0.153,-0.129,5.0,2,6,6,0.951,264.346,-0.023,0.384,1
0.0,46.0,11.0,1.05,1.61,0.22,0.651,6.5,8,8,3,46.0,77.655,-0.431,0.0,0
0.0,0.0,3.0,0.01,11.7,0.07,0.619,6.0,3,5,4,0.0,881.818,-0.549,0.0,1
20.81,20.81,10.0,0.23,1.15,0.073,0.127,5.0,5,7,5,0.954,270.728,-0.054,0.416,1
0.0,0.0,7.0,0.23,0.74,0.318,0.506,6.0,5,3,8,0.0,279.321,-0.188,0.0,0
8.76,52.53,1.0,0.7,3.52,0.107,0.619,4.0,5,5,7,5.385,124.224,-0.512,0.219,0
0.0,0.0,8.0,0.37,1.46,0.387,0.658,5.5,4,4,3,0.0,197.111,-0.271,0.0,0
11.49,68.92,26.0,0.26,0.63,0.227,0.6,5.0,7,3,5,5.519,205.918,-0.372,0.23,0
5.93,29.63,12.0,0.47,5.14,0.38,0.766,6.5,8,2,6,4.278,155.582,-0.386,0.091,0
0.0,0.0,37.0,0.52,3.45,0.206,0.431,3.5,2,4,3,0.0,101.633,-0.224,0.0,0
9.02,40.58,119.0,1.23,0.39,0.268,0.751,4.5,9,4,7,4.051,0.0,-0.483,0.2,0
14.33,57.3,2.0,0.59,0.5,0.124,0.733,3.5,1,10,10,3.739,141.789,-0.609,0.409,1
35.25,35.25,50.0,1.05,1.34,0.243,0.588,4.5,4,6,2,0.972,43.487,-0.344,0.783,0
34.23,34.23,101.0,2.8,0.04,0.286,0.714,6.0,8,6,7,0.972,0.0,-0.428,0.571,0
21.81,76.35,11.0,0.93,7.74,0.271,0.493,4.0,6,3,7,3.347,86.413,-0.223,0.545,1
23.96,95.86,12.0,0.16,7.41,0.318,0.635,5.0,3,4,4,3.84,333.276,-0.317,0.479,0
37.15,37.15,9.0,0.37,0.69,-0.096,0.199,9.0,6,5,2,0.974,194.66,-0.294,0.413,1
6.44,33.73,5.0,0.26,1.04,0.069,0.619,2.5,5,3,3,4.533,264.348,-0.55,0.258,1
23.0,92.0,2.0,0.78,0.23,0.183,0.619,5.5,5,1,3,3.833,111.573,-0.436,0.418,1
0.0,42.14,10.0,0.26,0.63,-0.01,0.046,5.0,5,7,2,42.138,250.175,-0.056,0.0,1
0.0,6.67,0.0,0.23,1.04,-0.087,0.619,5.0,1,5,7,6.671,300.534,-0.707,0.0,0
7.81,78.08,3.0,0.12,2.13,0.238,0.363,4.0,2,5,3,8.865,448.539,-0.124,0.195,1
5.54,28.0,3.0,0.23,1.76,0.029,0.14,4.0,7,5,2,4.282,292.282,-0.111,0.139,1
0.0,71.1,55.0,1.17,2.91,0.215,0.724,9.0,4,4,4,71.098,35.459,-0.509,0.0,0
0.0,83.72,20.0,0.74,0.14,0.165,0.559,3.0,3,7,7,83.721,94.921,-0.394,0.0,1
0.0,12.32,7.0,0.49,0.22,0.073,0.331,6.5,5,4,9,12.321,156.977,-0.258,0.0,1
0.0,45.41,0.0,0.78,1.04,0.087,0.372,3.0,2,3,3,45.412,113.726,-0.285,0.0,0
10.42,62.53,10.0,0.12,2.89,0.332,0.318,4.5,2,4,2,5.475,416.79,0.014,0.232,1
0.0,20.11,20.0,0.26,7.55,0.213,0.368,6.0,1,4,4,20.11,222.638,-0.155,0.0,1
11.35,39.72,46.0,0.12,1.43,0.199,0.73,4.5,5,2,10,3.217,249.481,-0.532,0.252,0
0.0,0.0,52.0,1.58,2.27,0.384,0.799,4.5,8,6,4,0.0,28.587,-0.415,0.0,0
0.0,35.16,244.0,1.72,5.31,0.219,0.583,6.0,8,9,10,35.155,0.0,-0.364,0.0,0
14.35,14.35,2.0,0.26,3.76,0.042,0.619,3.5,10,3,6,0.935,272.701,-0.577,0.41,1
47.2,59.52,13.0,0.37,0.69,0.181,0.281,4.0,4,7,5,1.235,186.412,-0.1,1.18,1
11.26,56.32,39.0,1.77,0.1,0.329,0.791,4.5,8,4,7,4.592,32.614,-0.463,0.25,0
18.41,55.67,6.0,0.12,1.84,0.134,0.37,6.0,2,2,2,2.868,435.314,-0.236,0.307,0
0.0,44.09,7.0,0.49,1.09,0.128,0.249,4.5,3,10,7,44.09,156.957,-0.121,0.0,0
44.93,89.87,7.0,0.12,3.31,0.329,0.516,6.0,3,3,8,1.956,430.683,-0.186,0.749,0
17.79,71.14,2.0,0.26,2.38,0.138,0.45,7.5,3,4,3,3.787,272.717,-0.313,0.237,1
0.0,46.9,45.0,0.62,5.7,0.33,0.47,5.0,5,7,4,46.895,75.918,-0.14,0.0,0
15.16,45.48,17.0,0.37,2.4,0.343,0.759,4.0,5,4,7,2.814,177.861,-0.416,0.379,0
24.41,77.89,7.0,0.23,0.96,0.099,0.257,3.5,7,8,4,3.065,279.59,-0.158,0.698,0
10.14,71.01,31.0,0.37,1.3,0.462,0.852,5.0,7,10,4,6.372,147.761,-0.391,0.203,0
9.05,72.41,75.0,0.7,6.53,0.252,0.719,6.5,5,2,9,7.204,31.423,-0.467,0.139,0
0.0,90.85,319.0,0.52,2.17,0.19,0.865,5.5,3,2,7,90.855,0.0,-0.675,0.0,0
0.0,0.0,3.0,0.23,4.29,0.195,0.39,4.5,10,6,3,0.0,291.727,-0.194,0.0,1
20.66,41.32,4.0,0.16,1.65,0.156,0.26,4.5,4,10,3,1.908,363.304,-0.104,0.459,1
0.0,29.69,17.0,0.26,0.63,0.436,0.844,5.0,4,9,7,29.694,230.9,-0.408,0.0,0
0.0,51.65,6.0,0.85,0.77,0.087,0.287,4.0,6,3,4,51.655,99.359,-0.2,0.0,1
0.0,91.21,394.0,0.01,11.3,0.024,0.126,4.5,1,5,5,91.207,0.0,-0.103,0.0,0
23.96,59.9,5.0,0.16,6.57,0.159,0.152,2.5,6,4,6,2.4,359.543,0.007,0.958,1
29.83,29.83,28.0,0.23,3.75,0.381,0.794,5.0,8,4,3,0.968,216.951,-0.413,0.597,0
13.36,39.0,9.0,0.48,6.62,0.411,0.71,3.5,4,2,8,2.716,157.158,-0.299,0.382,0
0.0,0.0,158.0,6.36,7.16,0.445,0.71,4.0,4,7,7,0.0,0.0,-0.264,0.0,0
14.44,39.98,12.0,0.26,5.68,0.25,0.585,4.5,10,6,3,2.59,244.886,-0.335,0.321,0
0.0,47.03,8.0,1.43,3.67,0.161,0.615,4.5,2,4,4,47.034,59.975,-0.454,0.0,1
8.97,44.83,73.0,1.2,0.85,0.268,0.56,7.0,4,9,3,4.498,20.831,-0.292,0.128,0
8.89,62.24,8.0,0.52,3.83,0.215,0.139,7.5,6,3,4,6.292,148.695,0.076,0.119,1
42.53,55.35,22.0,1.89,1.84,0.25,0.465,4.5,6,5,2,1.271,39.26,-0.215,0.945,0
45.15,58.04,54.0,0.58,0.84,0.25,0.673,5.5,4,6,1,1.258,67.519,-0.423,0.821,0
0.0,42.14,10.0,0.33,0.62,0.028,-0.022,6.0,4,7,3,42.138,210.124,0.05,0.0,1
13.46,13.46,11.0,0.52,0.16,0.007,-0.105,7.0,3,5,5,0.931,143.667,0.112,0.192,1
8.25,74.27,12.0,0.23,0.74,0.261,0.501,5.5,5,7,1,8.027,264.638,-0.24,0.15,1
18.09,72.36,23.0,2.21,5.62,0.229,0.824,3.5,4,4,5,3.79,33.277,-0.595,0.517,0
9.33,83.98,8.0,0.01,3.98,0.099,-0.07,5.5,9,3,7,8.129,836.364,0.169,0.17,1
22.1,77.33,7.0,0.12,4.51,0.373,0.741,5.0,7,2,6,3.348,430.683,-0.367,0.442,0
0.0,86.62,55.0,0.98,0.55,0.152,0.35,6.5,2,6,4,86.618,41.503,-0.198,0.0,1
0.0,0.0,63.0,1.25,3.89,0.301,0.611,6.0,6,3,2,0.0,27.421,-0.31,0.0,0
0.0,0.0,5.0,0.12,2.35,0.207,0.562,2.0,6,2,7,0.0,439.945,-0.355,0.0,1
17.79,71.14,0.0,0.01,2.55,0.056,0.649,4.0,7,2,3,3.787,909.091,-0.593,0.445,1
9.33,83.98,8.0,0.12,2.45,0.312,0.16,5.0,1,2,3,8.129,426.052,0.152,0.187,1
12.72,89.02,13.0,0.12,3.0,0.259,0.493,3.0,2,2,10,6.49,402.897,-0.234,0.424,1
13.46,13.46,8.0,0.12,2.53,-0.117,-0.094,3.0,4,1,5,0.931,425.493,-0.023,0.449,1
35.03,70.06,323.0,0.26,2.68,0.217,0.428,4.5,5,6,5,1.944,0.0,-0.211,0.778,0
0.0,51.11,3.0,0.49,2.83,-0.026,0.619,6.5,5,7,8,51.107,163.725,-0.645,0.0,1
0.0,42.96,5.0,0.23,0.97,0.168,0.629,4.0,4,7,3,42.962,286.255,-0.461,0.0,1
0.0,76.27,0.0,0.46,1.06,0.112,0.619,5.5,4,2,6,76.273,177.096,-0.507,0.0,1
0.0,0.0,260.0,4.18,2.27,0.46,0.768,4.5,7,7,5,0.0,0.0,-0.307,0.0,0
48.23,61.0,3.0,0.37,9.91,0.043,0.115,4.5,7,5,3,1.239,207.835,-0.072,1.072,1
20.81,20.81,8.0,0.35,0.34,-0.037,-0.128,5.0,7,5,10,0.954,205.447,0.091,0.416,1
0.0,34.11,19.0,0.42,0.15,0.286,0.747,6.0,5,7,7,34.109,156.165,-0.461,0.0,0
11.07,88.57,16.0,0.12,7.89,0.191,0.356,4.5,2,7,4,7.337,388.51,-0.165,0.246,1
0.0,35.41,11.0,0.26,1.44,0.216,0.233,5.0,8,4,2,35.411,247.652,-0.017,0.0,1
38.05,38.05,8.0,0.16,6.73,0.183,0.319,2.0,3,4,10,0.974,348.249,-0.136,1.903,1
0.0,0.0,32.0,0.68,2.0,0.159,0.456,2.5,4,5,4,0.0,87.5,-0.297,0.0,0
9.65,67.55,8.0,0.23,0.97,0.17,0.454,5.0,3,4,6,6.343,276.794,-0.285,0.193,1
37.15,37.15,5.0,0.01,2.37,-0.195,-0.148,5.0,3,3,9,0.974,863.636,-0.047,0.743,1
11.43,91.42,14.0,0.23,0.74,0.219,0.374,5.0,2,2,4,7.356,258.729,-0.154,0.229,1
0.0,36.17,4.0,0.12,2.25,0.106,0.474,5.5,2,8,4,36.171,444.576,-0.369,0.0,1
0.0,37.28,10.0,0.68,0.23,0.136,0.387,6.0,7,7,2,37.276,115.864,-0.251,0.0,0
0.0,47.98,415.0,5.56,6.11,0.183,0.239,6.0,2,4,10,47.98,0.0,-0.056,0.0,0
0.0,0.0,110.0,1.82,2.0,0.209,0.477,3.0,10,4,2,0.0,0.0,-0.268,0.0,0
0.0,39.82,29.0,0.35,3.27,0.215,0.804,5.0,8,1,4,39.82,158.551,-0.589,0.0,0
0.0,0.0,98.0,0.01,7.95,-0.287,0.619,2.0,5,3,2,0.0,18.182,-0.906,0.0,1
8.37,92.09,16.0,0.62,4.75,0.306,0.552,5.5,6,6,4,9.826,115.937,-0.246,0.152,0
19.69,78.77,18.0,0.52,0.35,0.274,0.597,3.5,4,4,6,3.807,132.556,-0.323,0.563,0
0.0,50.01,13.0,0.99,0.68,0.138,0.31,5.0,7,8,8,50.013,79.74,-0.173,0.0,0
6.98,69.76,1.0,1.09,2.94,0.183,0.383,4.5,8,3,5,8.746,82.886,-0.2,0.155,0
13.28,50.54,4.0,0.42,10.6,0.078,0.619,4.5,5,4,3,3.54,185.084,-0.541,0.295,1
0.0,52.55,6.0,0.37,6.86,0.132,0.425,3.5,4,10,5,52.551,201.226,-0.293,0.0,0
11.47,34.4,8.0,0.26,0.63,0.068,0.619,4.0,8,3,1,2.759,255.865,-0.551,0.287,1
0.0,28.72,29.0,0.26,5.54,0.372,0.532,2.0,5,7,3,28.722,197.593,-0.16,0.0,0
17.44,69.75,322.0,0.42,0.38,0.215,0.57,4.0,6,5,5,3.783,0.0,-0.355,0.436,1
0.0,0.0,4.0,0.12,4.41,0.124,0.314,3.0,1,1,8,0.0,444.576,-0.19,0.0,1
26.46,26.46,8.0,0.01,4.47,-0.095,-0.198,2.0,10,4,3,0.964,836.364,0.103,1.323,1
8.52,59.61,5.0,0.01,2.84,0.098,-0.017,3.0,7,4,3,6.264,863.636,0.115,0.284,1
0.0,31.53,8.0,0.01,2.14,0.437,0.79,5.0,9,9,4,31.527,836.364,-0.353,0.0,0
0.0,0.0,15.0,0.52,8.2,0.378,0.75,3.5,2,4,4,0.0,137.182,-0.372,0.0,0
9.68,67.78,82.0,0.58,1.28,0.325,0.731,5.0,5,7,7,6.345,26.466,-0.407,0.194,0
0.0,0.0,37.0,0.7,6.8,0.168,0.549,4.5,5,3,2,0.0,79.187,-0.381,0.0,0
0.0,0.0,0.0,1.05,1.46,0.154,0.619,4.0,3,4,4,0.0,86.972,-0.465,0.0,1
0.0,40.0,8.0,0.26,1.04,0.028,-0.034,4.5,8,6,5,40.001,256.006,0.061,0.0,1
12.12,48.49,1.0,1.3,1.04,0.054,0.305,7.0,6,6,7,3.695,70.59,-0.251,0.173,0
24.34,56.8,99.0,0.84,6.63,0.287,0.763,10.0,3,6,1,2.241,1.059,-0.476,0.243,0
0.0,50.53,8.0,0.37,4.28,0.101,0.273,5.5,6,3,5,50.529,197.137,-0.172,0.0,1
0.0,0.0,4.0,0.35,1.51,0.053,0.619,7.0,5,7,10,0.0,213.84,-0.566,0.0,1
12.15,85.02,12.0,0.12,3.52,0.36,0.376,8.0,6,6,5,6.468,406.975,-0.016,0.152,1
9.14,91.43,6.0,0.33,0.4,0.278,0.53,6.0,5,4,6,9.014,219.432,-0.251,0.152,1
15.95,79.74,2.0,0.33,1.09,0.088,0.007,4.5,5,3,4,4.705,228.691,0.081,0.354,1
7.44,37.22,1694.0,3.41,4.74,0.204,0.12,6.5,5,6,6,4.408,0.0,0.084,0.115,0
14.11,70.54,2.0,0.35,0.33,0.131,-0.05,5.0,5,6,3,4.669,218.211,0.181,0.282,1
22.67,68.0,3.0,0.59,0.37,0.279,0.557,4.5,7,10,4,2.873,140.228,-0.279,0.504,1
6.98,69.76,7.0,0.48,1.12,0.089,0.619,7.0,8,5,4,8.746,160.568,-0.53,0.1,1
16.36,16.36,12.0,0.01,2.14,0.135,0.316,6.0,4,2,2,0.942,800.0,-0.18,0.273,1
0.0,0.0,6.0,0.37,0.98,0.152,0.446,2.5,4,4,6,0.0,201.404,-0.294,0.0,1
18.49,49.31,145.0,0.82,1.78,0.265,0.751,7.0,1,5,7,2.53,0.0,-0.486,0.264,0
0.0,30.47,11.0,0.26,4.5,0.436,0.816,5.5,3,4,10,30.467,247.702,-0.38,0.0,0
43.45,43.45,30.0,0.23,4.48,0.262,0.666,4.5,7,2,8,0.978,210.925,-0.404,0.966,0
10.85,75.92,11.0,0.26,5.04,0.336,0.586,10.0,6,6,7,6.409,247.378,-0.25,0.108,1
46.04,57.67,7.0,0.42,0.56,0.086,0.126,3.0,6,2,3,1.226,179.414,-0.04,1.535,1
6.08,54.73,10.0,0.91,0.94,0.196,0.549,4.0,5,6,2,7.729,89.414,-0.353,0.152,0
15.16,45.48,20.0,0.26,3.87,0.343,0.789,5.5,4,4,4,2.814,222.56,-0.446,0.276,0
15.2,30.41,5.0,0.58,3.31,0.001,0.065,5.5,6,7,5,1.877,139.683,-0.064,0.276,1
7.18,78.96,3.0,0.26,0.63,0.093,0.216,4.5,6,6,2,9.655,269.901,-0.124,0.16,1
21.5,85.99,1.0,0.23,0.75,0.335,0.679,4.5,2,7,7,3.822,298.083,-0.344,0.478,1
24.08,72.25,3.0,0.16,1.09,0.168,0.619,8.0,3,4,5,2.88,367.361,-0.451,0.301,1
24.96,24.96,438.0,2.56,0.83,0.364,0.812,2.5,6,4,7,0.961,0.0,-0.448,0.998,0
0.0,0.0,19.0,0.84,0.15,0.211,0.669,6.0,8,6,6,0.0,86.396,-0.458,0.0,0
0.0,82.9,3.0,0.99,1.0,0.16,0.568,5.5,7,3,2,82.904,88.942,-0.408,0.0,1
0.0,0.0,18.0,1.07,0.82,0.343,0.647,4.5,6,1,1,0.0,70.071,-0.304,0.0,0
11.68,58.42,18.0,0.12,7.8,0.441,0.774,6.5,7,2,5,4.606,379.505,-0.333,0.18,0
6.67,40.33,5.0,0.01,2.55,0.049,0.077,7.5,3,8,4,5.261,863.636,-0.028,0.089,1
11.99,83.91,38.0,0.12,6.12,0.197,0.244,5.5,3,9,7,6.461,287.122,-0.047,0.218,1
35.96,59.93,384.0,2.46,6.34,0.279,0.484,8.0,4,7,7,1.622,0.0,-0.205,0.449,0
15.95,79.74,2.0,0.23,2.0,0.097,0.038,4.5,5,5,3,4.705,295.295,0.06,0.354,1
21.48,85.91,11.0,0.48,0.71,0.363,0.795,5.5,1,3,4,3.822,153.96,-0.432,0.39,0
0.0,0.0,3.0,0.58,2.33,0.182,0.53,5.0,5,5,2,0.0,142.405,-0.348,0.0,0
48.74,97.47,1320.0,6.7,6.27,0.415,0.771,5.0,2,3,6,1.96,0.0,-0.356,0.975,0
20.81,20.81,8.0,0.01,4.09,-0.029,-0.147,5.0,3,5,7,0.954,836.364,0.118,0.416,1
16.63,83.17,18.0,0.52,0.16,0.213,0.182,4.5,5,2,3,4.716,132.23,0.031,0.37,0
14.62,87.69,15.0,0.26,5.55,0.225,0.313,4.5,6,7,6,5.616,236.531,-0.087,0.325,1
20.63,20.63,16.0,0.52,2.52,0.242,0.473,6.0,2,6,5,0.954,135.511,-0.231,0.344,0
16.82,16.82,5.0,0.12,8.89,0.014,0.218,5.0,2,4,4,0.944,439.945,-0.204,0.336,1
0.0,0.0,5.0,0.48,3.25,0.31,0.625,4.0,3,5,2,0.0,163.927,-0.315,0.0,1
0.0,0.0,3.0,0.42,4.47,0.191,0.673,5.0,3,4,8,0.0,186.867,-0.482,0.0,0
19.8,19.8,5.0,0.23,9.12,0.066,0.208,4.0,5,3,1,0.952,285.735,-0.142,0.495,1
7.43,38.12,1.0,0.33,0.4,0.099,0.619,5.0,5,8,6,4.523,231.18,-0.521,0.149,1
20.81,20.81,8.0,0.01,3.4,-0.098,0.619,6.5,6,5,3,0.954,836.364,-0.717,0.32,1
10.49,52.43,50.0,0.16,3.1,0.202,0.428,3.5,4,4,5,4.565,189.252,-0.226,0.3,1
0.0,0.0,8.0,0.12,9.41,0.271,0.65,4.0,5,2,8,0.0,425.533,-0.38,0.0,0
17.4,17.4,11.0,0.58,0.84,0.098,0.028,5.0,6,3,1,0.946,130.843,0.07,0.348,1
0.0,0.0,244.0,1.66,1.98,0.102,0.092,3.5,5,8,8,0.0,0.0,0.01,0.0,0
0.0,3.37,10.0,0.33,0.95,0.291,0.608,6.0,5,3,4,3.37,209.99,-0.318,0.0,0
0.0,90.5,1.0,0.12,7.37,0.041,0.619,5.5,2,8,5,90.503,458.469,-0.578,0.0,1
0.0,4.33,11.0,0.7,3.3,0.321,0.713,4.5,5,8,8,4.326,111.487,-0.392,0.0,0
0.0,0.0,4.0,0.16,1.49,0.213,0.409,3.0,2,6,5,0.0,363.294,-0.196,0.0,1
0.0,28.34,14.0,0.42,11.6,0.438,0.798,6.0,5,5,5,28.343,165.97,-0.359,0.0,0
10.86,33.21,353.0,3.36,0.49,0.416,0.798,2.5,7,1,6,2.799,0.0,-0.382,0.434,0
6.08,54.73,6.0,0.23,0.74,0.12,0.495,4.5,7,4,3,7.729,282.642,-0.375,0.135,1
8.4,33.6,319.0,0.01,5.01,0.039,0.419,5.5,6,3,3,3.574,0.0,-0.38,0.153,0
13.99,55.95,8.0,0.91,0.08,0.288,0.677,3.0,5,4,3,3.733,91.453,-0.389,0.466,1
43.83,56.34,4.0,0.7,3.26,0.082,0.188,4.5,6,4,9,1.257,120.666,-0.106,0.974,1
19.46,77.84,5.0,0.23,1.31,0.032,0.619,1.0,2,3,2,3.804,286.255,-0.588,1.946,1
0.0,0.0,23.0,0.82,4.04,0.392,0.49,6.5,8,2,4,0.0,83.536,-0.097,0.0,0
7.66,38.86,5.0,0.26,3.05,0.122,0.619,5.0,9,5,4,4.489,264.361,-0.497,0.153,1
0.0,0.0,6.0,1.52,5.08,0.149,0.877,3.5,4,2,2,0.0,58.009,-0.728,0.0,1
8.78,87.79,4.0,0.33,0.96,0.273,0.244,7.0,3,5,5,8.977,224.111,0.029,0.125,1
