rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,flow_accumulation,roughness,flood_probability,flood_target
0.0,0.0,37.0,2.4,0.42,0.32,0.736,4.5,2,8,7,1.0,0.06,0.1219,0
14.62,87.69,17.0,0.42,1.17,0.235,0.514,5.0,2,6,6,1.0,0.06,0.2951,0
0.0,0.0,10.0,0.16,2.41,0.297,0.381,6.5,8,8,3,1.0,0.06,0.1894,0
0.0,0.0,16.0,0.66,1.26,0.244,0.651,6.0,3,5,4,1.0,0.06,0.1397,0
0.0,20.84,6.0,0.0,6.17,0.356,0.67,5.0,5,7,5,2.0,0.06,0.2181,0
0.0,54.31,110.0,2.7,0.34,0.323,0.788,6.0,5,3,8,1.0,0.06,0.181,0
23.31,104.89,22.0,0.12,1.85,0.4,0.848,4.0,5,5,7,1.0,0.013,0.4008,0
36.3,108.89,13.0,0.33,1.5,0.326,0.821,5.5,4,4,3,1.0,0.06,0.4406,0
0.0,56.93,27.0,0.52,0.63,0.271,0.71,5.0,7,3,5,7.0,0.013,0.2489,0
8.34,25.01,345.0,1.74,0.39,0.176,0.341,6.5,8,2,6,1.0,0.06,0.1468,0
41.68,41.68,6.0,0.26,0.85,0.235,0.599,3.5,2,4,3,1.0,0.06,0.2851,0
15.65,109.54,73.0,0.74,7.31,0.284,0.324,4.5,9,4,7,1.0,0.06,0.4612,0
0.0,35.39,6.0,1.0,2.64,0.14,0.619,3.5,1,10,10,1.0,0.06,0.1792,0
0.0,28.72,22.0,0.12,2.0,0.337,0.525,4.5,4,6,2,1.0,0.06,0.1857,0
48.23,61.0,8.0,0.0,4.52,0.171,0.478,6.0,8,6,7,1.0,0.013,0.4624,1
12.81,51.23,16.0,0.33,0.4,0.131,0.52,4.0,6,3,7,1.0,0.06,0.2644,0
21.68,65.04,50.0,1.8,4.04,0.357,0.898,5.0,3,4,4,5.0,0.06,0.2865,0
11.22,89.8,17.0,0.42,0.15,0.226,0.509,9.0,6,5,2,1.0,0.06,0.3324,0
7.48,52.33,136.0,0.91,3.15,0.342,0.829,2.5,5,3,3,3.0,0.06,0.1988,0
12.49,87.44,11.0,0.26,7.39,0.405,0.815,5.5,5,1,3,3.0,0.013,0.3882,0
9.9,44.53,199.0,1.47,4.44,0.23,0.779,5.0,5,7,2,1.0,0.06,0.172,0
25.17,88.09,18.0,0.0,2.14,0.283,0.29,5.0,1,5,7,1.0,0.06,0.3207,0
14.98,14.98,136.0,1.15,0.71,0.451,0.781,4.0,2,5,3,3.0,0.06,0.1279,0
0.0,16.87,413.0,2.35,3.1,0.268,0.487,4.0,7,5,2,1.0,0.06,0.1303,0
0.0,10.27,418.0,0.42,1.54,0.275,0.625,9.0,4,4,4,1.0,0.06,0.0995,0
6.16,43.09,84.0,1.64,1.9,0.244,0.804,3.0,3,7,7,1.0,0.06,0.1807,0
0.0,35.78,11.0,0.42,10.27,0.3,0.631,6.5,5,4,9,1.0,0.1,0.2713,0
8.37,92.09,24.0,0.37,1.54,0.3,0.635,3.0,2,3,3,1.0,0.1,0.2851,0
41.85,54.18,110.0,1.1,4.75,0.302,0.416,4.5,2,4,2,2.0,0.06,0.2776,0
7.86,78.6,35.0,1.17,1.38,0.288,0.638,6.0,1,4,4,1.0,0.06,0.2402,0
51.11,51.11,9.0,0.35,1.15,0.391,0.671,4.5,5,2,10,1.0,0.06,0.3723,0
0.0,0.0,60.0,1.64,1.06,0.307,0.877,4.5,8,6,4,1.0,0.06,0.1601,0
0.0,45.62,27.0,0.35,0.34,0.441,0.47,6.0,8,9,10,1.0,0.06,0.2384,0
43.52,43.52,32.0,0.84,0.91,0.191,0.463,3.5,10,3,6,1.0,0.06,0.3839,0
6.92,48.44,33.0,1.4,7.7,0.332,0.467,4.0,4,7,5,1.0,0.06,0.2676,0
29.78,89.34,8.0,0.12,2.13,0.307,0.832,4.5,8,4,7,2.0,0.06,0.4433,0
0.0,88.33,34.0,1.9,0.83,0.216,0.347,6.0,2,2,2,1.0,0.1,0.2452,0
0.0,31.53,4.0,0.23,3.69,0.37,0.774,4.5,3,10,7,1.0,0.06,0.1994,0
0.0,46.41,1172.0,1.62,3.52,0.455,0.789,6.0,3,3,8,1.0,0.06,0.1363,0
8.67,77.99,14.0,1.07,11.27,0.26,0.36,7.5,3,4,3,1.0,0.013,0.3618,0
39.2,52.1,14.0,0.71,0.89,0.487,0.85,5.0,5,7,4,1.0,0.06,0.3324,0
0.0,29.62,394.0,0.0,6.28,0.027,0.185,4.0,5,4,7,1.0,0.013,0.1453,0
9.05,72.41,57.0,0.58,0.05,0.19,0.728,3.5,7,8,4,1.0,0.06,0.2784,0
0.0,27.14,5.0,0.16,7.89,0.192,0.328,5.0,7,10,4,1.0,0.06,0.2638,0
41.98,41.98,48.0,1.36,1.95,0.396,0.69,6.5,5,2,9,3.0,0.06,0.3069,0
0.0,0.0,3.0,0.23,0.96,0.109,0.619,5.5,3,2,7,4.0,0.06,0.143,1
15.9,47.7,145.0,2.07,4.92,0.309,0.729,4.5,10,6,3,1.0,0.06,0.2727,0
0.0,21.46,129.0,1.66,0.72,0.267,0.599,4.5,4,10,3,4.0,0.06,0.1281,0
8.37,92.09,14.0,0.85,0.01,0.238,0.614,5.0,4,9,7,1.0,0.06,0.3035,0
0.0,78.55,225.0,3.6,3.49,0.203,0.534,4.0,6,3,4,5.0,0.06,0.2031,0
14.94,14.94,230.0,3.62,1.69,0.366,0.871,4.5,1,5,5,1.0,0.06,0.1059,0
0.0,12.42,0.0,0.7,1.04,0.116,0.699,2.5,6,4,6,1.0,0.06,0.1851,0
47.33,47.33,30.0,1.3,2.2,0.189,0.556,5.0,8,4,3,1.0,0.06,0.3896,0
21.96,87.82,6.0,0.71,1.28,0.245,0.532,3.5,4,2,8,1.0,0.06,0.3511,0
18.1,63.33,698.0,6.05,2.42,0.198,0.22,4.0,4,7,7,2.0,0.1,0.193,0
11.49,68.92,10.0,0.16,8.99,0.253,0.151,4.5,10,6,3,1.0,0.06,0.4319,1
23.96,59.9,11.0,1.07,2.69,0.177,0.114,4.5,2,4,4,1.0,0.06,0.2836,1
18.72,84.23,83.0,1.14,1.06,0.281,0.737,7.0,4,9,3,2.0,0.06,0.2828,0
10.84,75.91,28.0,0.16,2.1,0.32,0.377,7.5,6,3,4,1.0,0.06,0.3128,1
11.26,78.81,37.0,1.05,1.07,0.285,0.464,4.5,6,5,2,1.0,0.06,0.3052,0
14.69,36.73,884.0,12.27,8.19,0.331,0.402,5.5,4,6,1,3.0,0.1,0.1834,0
12.63,63.15,20.0,0.23,3.14,0.406,0.835,6.0,4,7,3,1.0,0.1,0.2816,0
0.0,0.0,5.0,0.16,1.31,0.133,0.619,7.0,3,5,5,2.0,0.1,0.144,1
33.34,77.79,402.0,6.86,1.28,0.273,0.252,5.5,5,7,1,3.0,0.06,0.2538,0
9.8,58.79,11.0,0.12,1.44,0.265,0.656,3.5,4,4,5,1.0,0.06,0.2581,1
12.53,62.66,17.0,0.62,0.57,0.293,0.469,5.5,9,3,7,1.0,0.06,0.3238,0
9.02,27.06,394.0,0.0,5.04,0.016,0.188,5.0,7,2,6,1.0,0.06,0.1672,0
21.68,65.04,66.0,0.84,3.99,0.356,0.888,6.5,2,6,4,1.0,0.06,0.2646,0
9.67,87.04,38.0,0.82,0.04,0.238,0.688,6.0,6,3,2,1.0,0.06,0.3077,0
26.59,106.37,9.0,0.52,2.67,0.405,0.843,2.0,6,2,7,1.0,0.06,0.447,0
8.95,53.68,14.0,0.16,1.09,0.3,0.658,4.0,7,2,3,1.0,0.06,0.2773,0
8.57,34.26,116.0,2.45,0.99,0.284,0.624,5.0,1,2,3,1.0,0.06,0.1401,0
9.07,72.58,30.0,0.58,1.39,0.29,0.584,3.0,2,2,10,1.0,0.06,0.2467,0
7.5,52.48,170.0,1.45,3.43,0.252,0.811,3.0,4,1,5,1.0,0.06,0.1761,0
0.0,0.0,21.0,0.82,2.25,0.432,0.544,4.5,5,6,5,1.0,0.06,0.158,0
11.15,33.77,4.0,0.35,5.31,0.095,0.619,6.5,5,7,8,3.0,0.06,0.262,1
9.25,64.77,90.0,1.1,0.37,0.296,0.573,4.0,4,7,3,2.0,0.06,0.2163,0
16.97,84.87,11.0,0.37,0.69,0.236,0.495,5.5,4,2,6,1.0,0.06,0.3215,0
12.34,40.42,6.0,0.12,6.19,0.366,0.509,4.5,7,7,5,1.0,0.1,0.3082,0
0.0,0.0,1.0,0.12,1.84,0.12,0.619,4.5,7,5,3,1.0,0.06,0.181,0
9.75,77.98,53.0,0.37,1.1,0.24,0.67,5.0,7,5,10,1.0,0.06,0.3021,0
21.21,84.85,178.0,3.53,0.32,0.338,0.594,6.0,5,7,7,3.0,0.06,0.2411,0
0.0,59.03,753.0,1.31,8.72,0.468,0.704,4.5,2,7,4,1.0,0.06,0.1708,0
0.0,55.02,1.0,0.26,8.36,0.151,0.594,5.0,8,4,2,2.0,0.1,0.3374,1
7.5,59.97,6.0,0.37,4.55,0.329,0.166,2.0,3,4,10,4.0,0.06,0.2697,1
0.0,0.0,17.0,0.26,7.47,0.313,0.482,2.5,4,5,4,1.0,0.06,0.1806,0
0.0,88.22,16.0,0.35,1.15,0.383,0.784,5.0,3,4,6,1.0,0.06,0.2692,0
14.11,70.54,2.0,0.0,2.84,0.14,0.077,5.0,3,3,9,1.0,0.06,0.2961,1
0.0,62.52,28.0,0.12,6.65,0.238,0.658,5.0,2,2,4,1.0,0.06,0.247,0
11.4,45.61,0.0,0.0,1.04,-0.028,0.393,5.5,2,8,4,2.0,0.013,0.2209,0
0.0,26.85,25.0,0.62,1.5,0.339,0.714,6.0,7,7,2,3.0,0.06,0.2068,0
27.77,111.09,9.0,0.26,6.5,0.368,0.792,6.0,2,4,10,3.0,0.06,0.4403,0
22.96,45.93,95.0,1.1,1.09,0.25,0.617,3.0,10,4,2,2.0,0.06,0.2877,0
0.0,40.0,8.0,0.0,8.76,-0.088,-0.16,5.0,8,1,4,3.0,0.06,0.3057,1
6.57,52.52,36.0,0.12,6.58,0.242,0.533,2.0,5,3,2,1.0,0.06,0.2755,0
0.0,0.0,14.0,0.46,2.62,0.378,0.62,5.5,6,6,4,1.0,0.06,0.1712,0
23.84,71.53,153.0,1.1,3.36,0.277,0.662,3.5,4,4,6,1.0,0.06,0.2499,0
0.0,32.63,147.0,0.96,0.02,0.179,0.563,5.0,7,8,8,1.0,0.06,0.1524,0
22.83,45.65,5.0,0.16,1.09,0.026,0.619,4.5,8,3,5,1.0,0.06,0.3184,1
40.6,52.25,34.0,0.66,7.66,0.223,0.411,4.5,5,4,3,1.0,0.06,0.3854,0
21.58,97.12,8.0,0.12,1.66,0.425,0.828,3.5,4,10,5,1.0,0.06,0.3721,0
10.48,10.48,50.0,1.36,0.15,0.466,0.818,4.0,8,3,1,1.0,0.06,0.1937,0
34.36,45.38,7.0,0.37,0.69,0.164,0.43,2.0,5,7,3,1.0,0.06,0.3075,1
25.8,77.39,63.0,0.37,1.54,0.235,0.813,4.0,6,5,5,1.0,0.06,0.3316,0
21.68,65.04,31.0,0.59,0.5,0.353,0.815,3.0,1,1,8,2.0,0.06,0.2466,0
11.97,83.8,31.0,0.52,6.98,0.292,0.69,2.0,10,4,3,1.0,0.06,0.4324,0
0.0,0.0,274.0,1.58,0.61,0.194,0.647,3.0,7,4,3,1.0,0.06,0.1038,0
4.23,29.59,3.0,0.59,2.06,0.133,0.42,5.0,9,9,4,1.0,0.06,0.2585,1
18.61,74.45,12.0,0.37,1.61,0.227,0.437,3.5,2,4,4,2.0,0.06,0.2873,0
22.55,90.21,6.0,0.26,7.89,0.396,0.837,5.0,5,7,7,1.0,0.06,0.4354,0
8.09,32.37,339.0,1.97,3.32,0.285,0.542,4.5,5,3,2,1.0,0.1,0.1471,0
0.0,0.0,29.0,0.26,1.04,0.23,0.571,4.0,3,4,4,11.0,0.06,0.1341,0
6.16,61.62,31.0,0.33,0.4,0.212,0.562,4.5,8,6,5,1.0,0.06,0.281,0
0.0,30.47,11.0,0.26,6.96,0.444,0.857,7.0,6,6,7,1.0,0.013,0.2478,0
0.0,36.48,391.0,2.4,0.32,0.195,0.539,10.0,3,6,1,1.0,0.06,0.1124,0
11.35,39.72,45.0,0.78,6.87,0.213,0.739,5.5,6,3,5,1.0,0.013,0.2733,0
0.0,40.28,10.0,0.33,0.4,0.123,0.371,7.0,5,7,10,1.0,0.06,0.2078,1
20.18,70.64,8.0,0.26,0.63,0.206,0.618,8.0,6,6,5,1.0,0.06,0.3295,0
10.73,53.63,18.0,0.42,0.38,0.355,0.844,6.0,5,4,6,1.0,0.06,0.2506,0
12.72,89.02,16.0,0.37,0.85,0.265,0.386,4.5,5,3,4,1.0,0.06,0.3288,1
0.0,36.25,455.0,3.89,6.78,0.272,0.831,6.5,5,6,6,1.0,0.1,0.1557,0
0.0,28.02,252.0,3.13,3.26,0.293,0.796,5.0,5,6,3,1.0,0.06,0.1292,0
0.0,0.0,21.0,0.84,4.06,0.273,0.764,4.5,7,10,4,1.0,0.06,0.1853,0
0.0,10.66,319.0,0.0,5.8,0.016,0.135,7.0,8,5,4,1.0,0.06,0.1433,0
10.39,51.93,45.0,0.68,0.08,0.308,0.61,6.0,4,2,2,3.0,0.06,0.2195,0
5.21,31.23,6.0,1.25,1.0,0.242,0.669,2.5,4,4,6,1.0,0.013,0.2015,0
0.0,0.0,14.0,0.26,6.37,0.396,0.698,7.0,1,5,7,2.0,0.06,0.1509,0
0.0,20.11,18.0,0.12,1.66,0.272,0.424,5.5,3,4,10,1.0,0.06,0.1652,0
8.91,53.48,11.0,1.19,1.33,0.187,0.674,4.5,7,2,8,1.0,0.06,0.2805,1
0.0,28.95,98.0,0.0,2.36,-0.148,0.619,11.0,6,6,7,2.0,0.06,0.1723,1
25.66,51.32,1.0,0.74,1.04,0.127,0.619,3.0,6,2,3,1.0,0.06,0.3143,0
10.38,41.53,341.0,0.35,3.08,0.298,0.586,4.0,5,6,2,1.0,0.06,0.161,0
26.33,70.22,111.0,1.48,0.4,0.323,0.745,5.5,4,4,4,1.0,0.06,0.2553,0
10.91,21.81,1042.0,8.81,0.37,0.231,0.799,5.5,6,7,5,6.0,0.06,0.1328,0
7.36,66.26,22.0,0.12,1.44,0.282,0.43,4.5,6,6,2,1.0,0.06,0.2826,0
0.0,0.0,29.0,1.07,1.08,0.397,0.704,4.5,2,7,7,1.0,0.06,0.1274,0
39.01,87.78,11.0,1.98,2.7,0.266,0.315,8.0,3,4,5,1.0,0.013,0.4,0
5.21,31.23,9.0,0.46,0.27,0.214,0.483,2.5,6,4,7,1.0,0.06,0.215,0
10.73,23.26,316.0,2.93,3.56,0.35,0.864,6.0,8,6,6,1.0,0.06,0.1656,0
10.14,60.82,11.0,0.66,1.46,0.405,0.816,5.5,7,3,2,1.0,0.06,0.2991,0
20.71,93.18,5.0,0.58,1.22,0.223,0.58,4.5,6,1,1,1.0,0.06,0.3869,1
16.02,112.14,11.0,0.0,3.53,0.239,0.261,6.5,7,2,5,1.0,0.06,0.4473,1
7.5,59.97,5.0,0.0,2.37,0.042,0.006,7.5,3,8,4,1.0,0.06,0.2534,1
0.0,34.64,16.0,0.35,3.23,0.291,0.343,5.5,3,9,7,1.0,0.06,0.1954,0
0.0,54.6,7.0,0.12,1.44,0.197,0.374,8.0,4,7,7,1.0,0.06,0.229,1
0.0,48.07,8.0,0.37,5.52,0.25,0.255,4.5,5,5,3,1.0,0.06,0.2584,0
8.37,92.09,26.0,0.59,0.21,0.274,0.53,5.5,1,3,4,1.0,0.06,0.2614,0
18.0,72.01,5.0,0.58,6.8,0.012,0.619,5.0,5,5,2,1.0,0.06,0.3703,1
37.53,37.53,220.0,4.25,2.19,0.349,0.587,5.0,2,3,6,1.0,0.06,0.1763,0
7.95,79.47,7.0,0.23,3.73,0.163,0.248,5.0,3,5,7,2.0,0.06,0.3007,1
21.81,76.35,22.0,0.16,1.09,0.295,0.633,4.5,5,2,3,3.0,0.1,0.3276,1
18.3,91.51,21.0,0.37,1.3,0.188,0.265,4.5,6,7,6,1.0,0.06,0.3652,0
32.61,86.96,21.0,0.46,0.46,0.309,0.127,6.0,2,6,5,2.0,0.06,0.3367,0
0.0,62.3,32.0,0.93,0.17,0.314,0.717,5.0,2,4,4,1.0,0.06,0.1998,0
0.0,47.12,36.0,0.33,2.7,0.244,0.415,4.0,3,5,2,1.0,0.013,0.201,0
13.99,55.95,2.0,0.26,0.63,0.158,0.292,5.0,3,4,8,1.0,0.06,0.2512,0
6.77,74.46,6.0,0.0,2.7,0.153,0.229,4.0,5,3,1,1.0,0.06,0.3048,1
0.0,54.7,8.0,0.12,1.44,0.324,0.411,5.0,5,8,6,1.0,0.06,0.2394,0
15.23,53.3,268.0,5.64,1.91,0.281,0.579,6.5,6,5,3,1.0,0.06,0.188,0
10.76,75.34,55.0,0.91,2.75,0.435,0.774,3.5,4,4,5,4.0,0.06,0.2752,0
8.53,42.66,18.0,0.58,1.33,0.264,0.559,4.0,5,2,8,1.0,0.06,0.2335,0
26.19,104.76,19.0,0.12,2.45,0.422,0.815,5.0,6,3,1,1.0,0.06,0.4324,0
8.95,53.68,19.0,0.71,2.73,0.231,0.436,3.5,5,8,8,3.0,0.06,0.2636,1
20.83,41.66,9.0,0.33,0.62,0.194,0.246,6.0,5,3,4,1.0,0.06,0.262,0
0.0,46.9,47.0,4.5,3.38,0.33,0.516,5.5,2,8,5,1.0,0.06,0.1903,0
48.9,60.74,3.0,0.46,1.71,0.166,0.339,4.5,5,8,8,1.0,0.1,0.3961,1
13.37,66.87,4.0,0.12,1.44,0.069,0.619,3.0,2,6,5,1.0,0.06,0.2627,1
0.0,19.22,1.0,0.23,1.92,0.077,0.619,6.0,5,5,5,1.0,0.013,0.1905,1
20.18,70.64,8.0,0.52,0.16,0.147,0.603,2.5,7,1,6,1.0,0.06,0.3387,0
10.9,76.29,13.0,0.16,6.55,0.129,0.198,4.5,7,4,3,2.0,0.06,0.3776,0
21.05,42.1,2.0,0.12,1.43,0.112,0.142,5.5,6,3,3,1.0,0.1,0.2859,0
12.72,89.02,26.0,0.12,1.84,0.29,0.586,3.0,5,4,3,1.0,0.06,0.3309,0
0.0,78.2,13.0,1.07,1.88,0.153,0.29,4.5,6,4,9,1.0,0.1,0.2944,0
0.0,32.66,12.0,0.58,3.54,0.201,0.692,1.0,2,3,2,1.0,0.06,0.187,0
0.0,80.52,41.0,0.7,1.66,0.31,0.495,6.5,8,2,4,1.0,0.06,0.3047,0
6.39,51.11,119.0,4.41,1.54,0.259,0.749,5.0,9,5,4,1.0,0.06,0.2327,0
0.0,0.0,3.0,0.12,2.35,0.281,0.354,3.5,4,2,2,1.0,0.06,0.1578,1
29.29,87.86,5.0,0.12,11.12,0.275,0.188,7.0,3,5,5,1.0,0.06,0.4552,0
0.0,0.0,0.0,0.48,1.04,0.36,0.619,6.0,5,7,7,1.0,0.013,0.16,0
25.92,103.68,16.0,0.26,2.77,0.386,0.793,5.0,6,6,2,1.0,0.06,0.4344,0
17.24,68.96,6.0,0.26,0.85,0.215,0.359,4.0,1,6,6,1.0,0.06,0.2591,0
8.89,62.24,8.0,0.0,3.24,0.035,0.046,6.0,3,6,5,1.0,0.06,0.266,1
0.0,0.0,20.0,0.49,3.49,0.536,0.728,6.0,4,3,3,1.0,0.06,0.157,0
17.44,69.75,321.0,0.26,1.73,0.072,0.495,3.0,7,10,4,1.0,0.06,0.2267,1
0.0,22.81,394.0,0.0,2.96,0.041,0.238,7.0,4,5,2,1.0,0.06,0.1162,0
36.31,49.52,5.0,0.52,3.54,0.233,0.389,5.5,4,7,6,1.0,0.06,0.3347,0
10.52,105.16,8.0,0.23,5.02,0.269,0.456,4.0,1,4,1,1.0,0.06,0.3449,1
0.0,39.09,983.0,1.65,0.62,0.233,0.497,5.0,6,6,4,2.0,0.06,0.1358,0
0.0,21.12,31.0,2.0,0.92,0.431,0.594,6.0,5,9,5,1.0,0.06,0.1738,0
0.0,0.0,6.0,0.23,0.74,0.214,0.35,2.0,3,3,3,1.0,0.06,0.1408,0
0.0,0.0,6.0,1.29,0.04,0.3,0.776,7.5,4,5,3,1.0,0.06,0.1447,0
0.0,45.76,2.0,0.37,4.92,0.2,0.644,4.5,9,5,8,3.0,0.013,0.3011,0
13.44,53.76,59.0,1.86,0.53,0.236,0.767,4.5,3,2,7,1.0,0.06,0.215,0
23.31,104.89,26.0,0.16,1.09,0.426,0.861,6.0,3,5,4,1.0,0.013,0.3625,0
0.0,0.0,2.0,0.42,0.15,-0.062,0.619,3.0,10,4,5,1.0,0.06,0.1978,0
0.0,31.19,9.0,0.37,1.54,0.216,0.356,4.5,3,4,4,3.0,0.013,0.1833,0
10.53,84.23,12.0,0.42,4.06,0.292,0.544,5.0,5,2,2,1.0,0.06,0.3437,1
